商品,價格1,價格2,網址,圖片
"日檢N2套書：精修版 新制對應 絕對合格！日檢必背 [單字,文法,閱讀,聽力] N2熱銷套書（25K＋MP3）",233,916,https://shopee.tw//日檢N2套書：精修版-新制對應-絕對合格！日檢必背-單字-文法-閱讀-聽力-N2熱銷套書（25K＋MP3）-i.83024609.2142035499,https://cf.shopee.tw/file/47df7acbc000dbe41c3968fa4072591f_tn
"新日檢絕對合格N1,N2,N3,N4,N5單字大全 精裝本 修訂本（25K+ MP3）",364,364,https://shopee.tw//新日檢絕對合格N1-N2-N3-N4-N5單字大全-精裝本-修訂本（25K-MP3）-i.83024609.2212110401,https://cf.shopee.tw/file/825415dd3240abba4a1ba03c0560a18f_tn
"語言/日文 日檢文法 日檢單字 日文檢定 日文寫作 N1,N2,N3,N4,N5",125,349,https://shopee.tw//語言-日文-日檢文法-日檢單字-日文檢定-日文寫作-N1-N2-N3-N4-N5-i.38875055.4702340390,https://cf.shopee.tw/file/5db70f202b387dac3732e974af47afb0_tn
"新日檢JLPT N2關鍵540題+關鍵單字2,500(3書+2MP3)",280,545,https://shopee.tw//新日檢JLPT-N2關鍵540題-關鍵單字2-500(3書-2MP3)-i.17676261.2141354354,https://cf.shopee.tw/file/7d040fd320bda123f097c823ce36e122_tn
高分．暢銷！10000單字，搞定新日檢：N1．N2．N3．N4．N5必考單字（最新版）（附MP3）,291,291,https://shopee.tw//高分．暢銷！10000單字，搞定新日檢：N1．N2．N3．N4．N5必考單字（最新版）（附MP3）-i.83024609.2631949852,https://cf.shopee.tw/file/eb38b162867d32e928f647a534f56f9e_tn
"精裝本 重音版 新日檢 絕對合格 N1,N2,N3,N4,N5單字大全（25K＋2MP3）",431,431,https://shopee.tw//精裝本-重音版-新日檢-絕對合格-N1-N2-N3-N4-N5單字大全（25K＋2MP3）-i.163113630.6101334400,https://cf.shopee.tw/file/217b169b1565931c3dfb6194de560eac_tn
【二手英日語學習多本】日檢/英檢/托福/研究所/大學/高中/初級/生活/職場 會話閱讀文法單字聽力N1 N2 N3 N4,49,85,https://shopee.tw//【二手英日語學習多本】日檢-英檢-托福-研究所-大學-高中-初級-生活-職場-會話閱讀文法單字聽力N1-N2-N3-N4-i.54377491.6217594519,https://cf.shopee.tw/file/316ae63ff5d47af4c7698d54dd0cc0c6_tn
"新日檢JLPT N2關鍵單字2,500：主考官的單字庫完全收錄，新日檢N2快速過關！",277,277,https://shopee.tw//新日檢JLPT-N2關鍵單字2-500：主考官的單字庫完全收錄，新日檢N2快速過關！-i.192717465.6930469138,https://cf.shopee.tw/file/82d80db60bf2b7aadbd82858c2b375f7_tn
新日檢考試有祕密：全方位N2單字+全真模擬試題(附1MP3),296,296,https://shopee.tw//新日檢考試有祕密：全方位N2單字-全真模擬試題(附1MP3)-i.17676261.595243442,https://cf.shopee.tw/file/5f12d6e706d19d8f44b4d567794c38c4_tn
<書本熊>精修版 新制對應 絕對合格！日檢必背單字N2（25K＋MP3）：9789862464373,277,277,https://shopee.tw//-書本熊-精修版-新制對應-絕對合格！日檢必背單字N2（25K＋MP3）：9789862464373-i.25236816.457247498,https://cf.shopee.tw/file/a6730e2029cd33c3218bd7ca6e038bbb_tn
